id	title	publishedAt	thumbnailUrl	categoryId	defaultAudioLanguage	tags	viewCount	likeCount	dislikeCount	commentCount	uploadStatus	privacyStatus	license	embeddable	publicStatsViewable	madeForKids	topicCategories	duration	dimension	definition	caption	licensedContent	contentRating	projection
xCIJPYq8roY	Aarti (Audio) | Bhuj: The Pride Of India | Sonakshi S |Shankar M, Priya M,Sonali C,Amar M, Surabhi S	2021-08-16T13:00:27Z	https://i.ytimg.com/vi/xCIJPYq8roY/default.jpg	10	hi	['hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', 'hit songs 2021', '2021 film songs', 'bollywood songs', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs']	82928	1923	125	166	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT6M20S	2d	hd	false	True	{}	rectangular
xsgjV4-kxOA	Rammo Rammo (Audio) Bhuj: The Pride Of India |Sonakshi S |Udit N,Neeti M, Palak M,Tanishk B, Manoj M	2021-08-16T12:45:04Z	https://i.ytimg.com/vi/xsgjV4-kxOA/default.jpg	10	hi	['Rammo Rammo song', 'Rammo Rammo video', 'Rammo Rammo film song', 'Rammo Rammo tseries', 'Rammo Rammo lyrics', 'Rammo Rammo lyrical', 'Rammo Rammo hindi song', 'Rammo Rammo new song', 'Rammo Rammo full video', 'Bhuj: The Pride Of India song', 'Bhuj: The Pride Of India film song', 'Bhuj: The Pride Of India hindi song', 'Bhuj: The Pride Of India full video', 'Bhuj: The Pride Of India 2021 hindi songs']	72840	1236	116	143	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT3M40S	2d	hd	false	True	{}	rectangular
v9mZ5z4GNsE	DESH MERE (Audio)| Bhuj: The Pride Of India | Ajay D, Sanjay D, Ammy V | Arijit Singh |Arko, Manoj M	2021-08-16T12:32:09Z	https://i.ytimg.com/vi/v9mZ5z4GNsE/default.jpg	10	hi	['arijit singh songs', 'arijit singh new song', 'desh mere arijit singh', 'bhuj movie', 'bhuj movie songs', 'ajay devgan songs', 'hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', 'hit songs 2021', '2021 film songs', 'bollywood songs', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs']	237093	10482	174	644	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT3M24S	2d	hd	false	True	{}	rectangular
_fKXt8FeYMI	Bhai Bhai Audio | Bhuj: The Pride Of India |Sanjay D.| Mika S | Lijo George - DJ Chetas| Manoj M	2021-08-16T12:30:56Z	https://i.ytimg.com/vi/_fKXt8FeYMI/default.jpg	10	hi	['Bhai Bhai song', 'Bhai Bhai video', 'Bhai Bhai film song', 'Bhai Bhai tseries', 'Bhai Bhai lyrics', 'Bhai Bhai lyrical', 'Bhai Bhai hindi song', 'Bhai Bhai new song', 'Bhuj: The Pride Of India song', 'Bhuj: The Pride Of India video', 'Bhuj: The Pride Of India film song', 'Bhuj: The Pride Of India tseries', 'Bhuj: The Pride Of India lyrics', 'Bhuj: The Pride Of India 2021 film songs', 'Bhuj: The Pride Of India bollywood songs', 'bhai bhai bhai bhai song', 'bhai bhai']	35863	957	86	67	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT3M41S	2d	hd	false	True	{}	rectangular
UabpXotIAJw	Hanjugam (Audio) | Bhuj: The Pride Of India |Ajay D. Pranitha S. Sonakshi S.| Jubin N | Gourov D	2021-08-16T12:29:01Z	https://i.ytimg.com/vi/UabpXotIAJw/default.jpg	10	hi	['Hanjugam song', 'Hanjugam video', 'Hanjugam film song', 'Hanjugam tseries', 'Hanjugam lyrics', 'Hanjugam lyrical', 'Hanjugam hindi song', 'Hanjugam new song', 'Hanjugam full video', 'Hanjugam audio', 'Hanjugam hit songs 2021', 'Hanjugam 2021 hindi songs', 'Bhuj: The Pride Of India song', 'Bhuj: The Pride Of India video', 'Bhuj: The Pride Of India film song', 'Bhuj: The Pride Of India tseries']	38984	887	49	57	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT3M46S	2d	hd	false	True	{}	rectangular
9XxLrIeWMl4	Dil Lauta Do (Lyrical) | Jubin Nautiyal, Payal Dev | Sunny K, Saiyami K | Kunaal V | Navjit B	2021-08-16T07:00:01Z	https://i.ytimg.com/vi/9XxLrIeWMl4/default.jpg	10	hi	['dil lauta do jubin nautiyal', 'dil lauta do', 'jubin nautiyal new song', 'dil lauta do mera', 'dil lauta do full song', 'dil lauta do teaser', 'dil lauta do song', 'dil lauta do review', 'dil lauta do reaction', 'dil lauta do chale jayenge', 'dil lauta do status', 'dil lauta do mera chale jaenge', 'dil lauta do mera status', 'dil lauta do old song', 'dil lauta do jubin', 'dil lauta do mera song', 'dil lauta do new song', 'jubin nautiyal dil lauta do', 'jubin dil lauta do', 'jubin ka dil lauta do']	7642758	204817	5515	4230	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT5M21S	2d	hd	false	True	{}	rectangular
nFFlPHKUvFQ	Making of Dil Hai Ki Manta Nahin/ Nazar Ke Samne ★ Ep-4 | Shilpa,Yasser | T-Series Mixtape S3	2021-08-15T11:30:15Z	https://i.ytimg.com/vi/nFFlPHKUvFQ/default.jpg	10	hi	['hindi songs', '2020 hindi songs', 'new hindi songs', '2020 new songs', 't-series', 'tseries', 'tseries songs', 'new song', 'hit songs 2020', '2020 film songs', 'bollywood songs', '2020 songs', 'hindi 2020 songs', 'film songs', 'hindi movie songs', 'mehndi wale hath song', 'guru randhawa new song', 'mehndi wale hath guru randhawa', 'mehndi wale hath guru randhawa song', 'guru randhawa new song 2021', 'guru randhawa all songs', 'guru randhawa', 'guru randhawa songs', 'mehendi wale haath', 'guru randhawa mehndi wale hath']	78601	1631	217	384	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT1M35S	2d	hd	false	True	{}	rectangular
gMNJxfEBDug	Bhuj: The Pride of India |Hindustan Ka Vaar | Ajay D. Sonakshi S. Ammy V. |Streaming Now	2021-08-15T09:30:07Z	https://i.ytimg.com/vi/gMNJxfEBDug/default.jpg	10	hi	['hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', 'hit songs 2021', '2021 film songs', 'bollywood songs', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs']	73690	2399	168	249	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']	PT20S	2d	hd	false	False	{}	rectangular
8ppVE_hzSUw	Bhuj: The Pride of India | Desh Ki Maddat | Ajay D. Sonakshi S. Ammy V. | Streaming Now	2021-08-14T08:42:38Z	https://i.ytimg.com/vi/8ppVE_hzSUw/default.jpg	10	hi	['hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', 'hit songs 2021', '2021 film songs', 'bollywood songs', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs']	114607	3140	375	547	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']	PT20S	2d	hd	false	False	{}	rectangular
2eCieu93ed0	Main Teri Mohabbat Mein /Jaane Jigar Teaser Ep8 |Payal Dev, Benny Dayal |T-Series Mixtape S3 |18 Aug	2021-08-14T07:30:00Z	https://i.ytimg.com/vi/2eCieu93ed0/default.jpg	10	hi	['hindi songs', '2021 hindi songs', 'new hindi songs', '2021 new songs', 't-series', 'tseries', 'tseries songs', 'new song', 'hit songs 2021', '2021 film songs', 'bollywood songs', '2021 songs', 'hindi 2021 songs', 'film songs', 'hindi movie songs']	492762	13924	855	857	processed	public	youtube	True	False	False	['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']	PT17S	2d	hd	false	True	{}	rectangular
